disease,doid
Pancreatic Neuroendocrine Tumor,DOID:1793
Cartilage Disease,DOID:1222
Multiple Sclerosis,DOID:2377
Parkinson Disease,DOID:14330
Bronchopulmonary Dysplasia,DOID:11650
Melanoma,DOID:1909
COVID-19,DOID:0080600
Hypertension,DOID:10763
Prostate Cancer,DOID:10283
Colorectal Cancer,DOID:9256
Bladder Cancer,DOID:11054
Clear Cell Renal Cell Carcinoma,DOID:4467
Neurodegenerative Disease,DOID:1289
Breast Cancer,DOID:1612
Idiopathic Nephrotic Syndrome,DOID:10966
Alzheimer Disease,DOID:10652
Alcoholic Chronic Pancreatitis,DOID:4988
Hepatocellular Carcinoma,DOID:684
Dilated Cardiomyopathy,DOID:12930
Laryngeal Squamous Cell Carcinoma,DOID:2876
Hearing Loss,DOID:0070310
Systemic Lupus Erythematosus,DOID:9074
Endocervical Adenocarcinoma,DOID:0050940
Multiple Myeloma,DOID:9538
Myocardial Infarction,DOID:5844
Spinal Cord Injury,DOID:319
Traumatic Brain,DOID:0081292
Papillary Thyroid Carcinoma,DOID:3969
Irritable Bowel Syndrome,DOID:9778
Non-Alcoholic Fatty Liver Disease,DOID:0080208
Lung Adenocarcinoma,DOID:3910
IgA Nephropathy,DOID:2986
Age-Related Macular Degeneration,DOID:10871
Oxygen-Induced Retinopathy,DOID:5679
Uv-Induced Skin Injury,DOID:37
Oral Submucous Fibrosis,DOID:5773
Acute Pancreatitis,DOID:2913
Amyotrophic Lateral Sclerosis,DOID:332
Hypopharynx Cancer,DOID:8533
Chronic Lymphocytic Leukemia,DOID:1040
Head And Neck Squamous Cell Carcinoma,DOID:5520
Colon Cancer,DOID:219
Gastric Cancer,DOID:10534
Stroke,DOID:6713
Osteoporosis,DOID:11476
Gastric Carcinoma,DOID:5517
Atopic Dermatitis,DOID:3310
Osteoarthritis,DOID:8398
Fusarium Head Blight,DOID:2473
Atherosclerosis,DOID:1936
Pancreatic Ductal Adenocarcinoma,DOID:3498
Respiratory Syncytial Virus Infection,DOID:1273
Intracranial Aneurysm,DOID:10941
Oral Squamous Cell Carcinoma,DOID:0050866
Lung Cancer,DOID:1324
Ovarian Cancer,DOID:2394
Deafness,DOID:0060140
Leber Hereditary Optic Neuropathy,DOID:705
Coronary Artery Disease,DOID:3393
Acute Lung Injury,DOID:850
